75	44	32	32	39	39	78
28	1	44	27	40	13	41
4	23	43	4	89	26	84
65	67	12	3	71	18	99
42	9	36	12	55	95	82
74	47	51	77	97	62	93
7	90	70	28	4	84	76
90	56	95	14	83	68	1
44	45	39	3	62	61	43
70	4	10	68	86	25	83
45	15	41	35	40	57	92
61	8	89	48	95	47	30
18	41	90	20	12	33	18
74	91	54	42	7	14	96
99	82	30	6	91	33	95
33	77	54	87	24	87	84
93	74	39	25	75	95	11
27	53	1	87	6	92	23
20	51	53	15	59	71	53
64	2	60	83	84	81	59
97	85	24	48	6	78	19
59	82	92	98	74	78	10
18	77	35	19	2	22	53
59	15	42	14	51	32	24
32	49	13	76	20	8	80
92	71	98	50	60	61	69
32	61	16	51	43	5	73
23	13	11	62	53	44	93
5	39	30	36	90	94	20
55	75	82	67	91	40	84
53	34	44	70	11	6	50
35	6	7	67	27	84	81
75	16	6	46	87	44	45
21	19	97	3	77	19	52
55	75	5	72	42	65	79
6	70	50	9	62	38	69
43	82	22	47	55	83	56
16	30	65	15	40	81	66
13	77	91	21	73	62	65
44	10	86	14	39	56	70
79	79	53	71	89	31	2
60	95	45	9	33	40	64
44	7	18	51	42	38	90
98	68	71	39	78	33	44
22	98	57	90	36	81	74
15	81	69	34	93	12	62
67	43	26	91	70	44	14
46	51	74	21	20	80	59
90	72	29	59	29	37	42
86	91	40	56	4	73	84
58	71	68	62	29	35	15
85	60	28	42	82	59	35
59	95	29	11	42	15	11
70	69	40	40	83	5	5
48	36	44	40	37	35	35
15	41	1	80	94	60	88
99	10	16	86	31	85	97
59	7	11	89	79	23	88
40	78	97	54	73	19	85
61	44	36	96	79	12	78
32	96	21	2	48	51	60
78	99	83	17	62	3	68
64	93	92	11	20	1	2
89	95	45	24	74	76	81
79	19	99	93	37	81	92
76	36	2	35	51	44	40
54	12	91	5	71	57	27
32	43	16	16	59	64	86
75	74	70	64	56	72	75
79	61	82	17	53	25	80
43	59	49	2	46	94	46
46	47	38	49	93	3	57
14	34	51	77	7	29	46
87	90	64	88	27	92	96
82	90	29	4	53	80	53
60	38	22	23	84	52	95
81	66	34	61	78	39	4
85	70	8	54	15	63	19
96	84	93	78	69	50	59
24	58	23	38	24	19	51
58	45	2	97	77	97	12
51	96	83	29	82	81	51
17	30	92	95	57	4	11
95	97	87	8	36	28	89
71	71	21	21	84	1	24
33	87	99	67	3	33	95
49	64	22	27	70	26	32
72	9	26	9	6	54	79
75	4	31	13	34	79	11
64	86	19	24	74	11	93
27	9	2	49	48	52	76
64	36	45	84	88	53	97
39	77	7	25	49	11	15
91	47	24	51	79	46	11
43	62	21	36	39	15	20
90	98	47	81	67	81	81
61	86	30	99	91	21	84
37	8	80	66	14	90	3
2	11	58	16	13	82	97
96	16	34	85	47	28	97
24	31	52	69	79	71	16
52	70	71	37	96	3	91
25	5	11	83	87	43	65
46	28	39	51	57	47	13
23	5	59	13	99	25	91
97	67	6	39	96	32	8
1	42	91	61	48	44	69
57	19	96	6	53	13	20
63	5	47	53	30	70	39
2	98	63	49	24	52	32
55	5	21	1	24	75	2
65	89	62	7	83	44	9
69	89	9	76	47	75	36
73	65	39	36	56	13	57
24	5	23	55	30	78	30
83	66	32	38	38	89	73
15	31	87	42	25	11	29
7	21	80	72	94	7	62
93	2	75	9	71	34	41
42	20	50	47	47	86	87
23	99	49	32	13	43	73
32	4	40	72	7	28	15
18	45	53	87	52	25	63
25	60	95	54	51	22	37
33	98	29	4	91	40	22
74	35	4	58	2	25	12
44	59	33	44	42	4	7
10	92	22	44	20	87	85
12	93	17	37	45	56	46
48	86	64	6	5	58	38
20	24	89	16	44	42	84
35	61	23	49	2	47	64
97	79	38	75	67	28	99
96	13	90	68	74	53	89
41	78	94	24	92	29	32
84	15	6	55	60	56	53
63	70	43	23	48	23	78
30	31	93	7	48	33	39
4	94	87	58	85	36	43
6	31	2	77	1	74	2
41	25	1	4	50	27	94
21	29	27	40	14	84	94
48	45	74	81	30	62	24
76	36	19	71	43	13	23
49	9	18	35	29	91	49
56	48	88	85	18	19	89
2	79	13	67	72	78	82
97	3	29	44	27	15	7
36	71	80	21	3	81	82
95	45	94	2	49	30	68
59	51	17	82	94	97	12
46	40	32	31	50	25	39
47	10	21	35	30	26	25
63	21	95	12	2	3	51
56	79	8	37	19	18	40
4	70	70	6	53	74	17
89	70	86	19	53	34	88
80	35	69	92	16	98	80
62	58	61	85	31	55	66
32	45	83	80	2	15	3
37	16	69	13	5	71	25
67	84	81	89	11	4	17
71	73	26	71	82	81	77
84	21	95	75	42	14	1
12	64	24	91	21	89	79
85	97	2	43	25	76	77
19	2	68	96	20	11	11
57	41	41	60	31	70	56
20	71	61	32	46	38	82
88	71	94	66	94	42	82
26	51	67	61	19	60	44
7	2	58	52	80	97	33
92	43	59	18	49	78	40
66	63	62	94	79	33	51
56	65	78	23	76	19	64
75	53	73	86	16	3	10
67	60	9	44	36	76	91
70	63	16	4	1	43	24
29	89	58	32	24	75	7
35	91	18	70	25	38	27
84	12	39	88	36	16	95
38	44	11	34	7	63	74
63	25	16	14	7	51	23
65	56	7	57	13	45	26
59	72	6	37	9	9	72
12	2	89	64	35	27	58
60	44	65	90	85	38	19
58	86	25	60	55	81	7
14	99	38	57	8	58	72
90	6	41	72	58	24	25
39	89	46	30	38	23	77
82	49	20	36	37	42	71
5	27	49	52	51	12	22
22	3	28	48	76	68	76
91	95	11	77	60	74	61
57	52	11	35	23	98	11
22	40	9	76	3	45	23
67	92	9	49	8	82	58
9	59	60	47	16	22	48
39	13	96	2	11	82	29
57	87	22	53	10	27	24
59	29	10	72	92	14	85
24	50	70	92	49	17	83
84	4	13	54	77	24	48
73	79	74	73	99	95	88
4	85	25	30	65	6	17
97	60	75	79	65	95	67
61	43	14	54	1	77	1
18	60	96	90	61	76	54
24	95	86	85	41	81	58
36	94	94	29	1	1	41
64	58	49	90	25	16	30
78	63	18	30	58	95	11
12	71	8	91	92	65	9
81	28	78	14	98	26	29
5	80	96	14	39	61	2
35	83	79	35	87	63	5
70	88	3	73	14	93	15
89	80	16	3	94	97	43
92	96	68	90	31	43	80
18	80	21	69	84	74	8
45	25	91	60	39	88	5
42	57	70	21	12	97	82
30	90	49	82	2	79	85
7	46	14	52	17	93	78
93	7	77	88	67	7	75
87	11	78	40	48	92	27
46	13	17	49	56	4	77
17	30	65	10	16	34	79
90	64	90	19	17	13	51
14	50	20	14	86	68	77
6	44	51	57	38	87	88
41	84	22	97	21	34	60
60	61	62	55	36	96	19
2	46	34	54	40	15	48
60	50	1	88	85	14	28
42	40	92	82	44	72	1
35	47	55	45	52	86	73
60	14	79	24	6	5	74
92	48	15	44	17	62	47
35	68	7	64	67	3	54
51	3	72	85	15	15	13
47	55	63	42	70	66	80
59	17	20	31	60	57	42
52	60	49	71	5	12	78
65	92	81	95	7	54	90
3	73	5	99	63	60	39
3	58	26	93	82	77	87
99	23	4	31	47	28	93
41	36	65	51	53	49	11
10	90	5	30	70	27	90
35	75	80	90	23	99	85
14	97	56	49	4	65	59
56	54	36	43	31	3	67
45	41	35	79	91	92	6
10	69	79	86	65	12	33
48	92	78	17	89	77	1
76	75	41	54	85	73	82
92	87	15	88	33	35	95
99	41	49	85	22	5	27
8	99	20	33	2	59	17
25	79	72	92	93	1	53
14	50	21	14	89	34	60
13	48	89	73	70	1	25
18	96	21	6	59	6	96
68	50	50	17	35	57	24
27	9	97	26	82	31	41
57	47	13	14	65	9	36
71	71	97	77	22	79	49
21	60	4	38	30	26	70
67	79	58	75	96	91	42
52	86	31	62	55	36	17
55	1	7	77	89	54	53
22	4	26	18	57	60	33
97	89	8	92	64	99	62
95	63	80	5	20	96	27
25	85	37	14	11	44	47
71	3	66	46	69	32	42
47	32	34	58	41	77	88
28	41	55	48	13	51	64
10	38	1	3	74	32	28
76	71	52	46	57	76	58
73	85	72	42	37	7	12
93	57	5	63	47	12	76
96	78	68	25	25	58	60
88	59	50	13	1	81	49
97	78	95	97	43	37	65
4	27	70	48	49	93	35
99	54	87	22	33	88	98
93	96	29	49	95	85	98
97	93	86	65	8	71	91
83	66	50	39	90	98	74
49	67	96	44	85	43	44
1	89	39	82	55	79	45
13	52	3	64	54	77	11
72	46	64	79	98	26	83
72	50	46	26	10	56	73
53	89	39	42	26	18	95
79	31	30	89	2	23	64
54	89	66	79	52	4	21
27	48	91	63	87	36	31
73	78	95	46	31	15	42
35	67	28	83	11	37	20
28	2	11	16	47	3	13
14	53	45	91	39	69	21
24	12	75	44	18	1	55
82	57	55	73	8	59	46
25	55	48	84	29	80	39
67	20	98	85	12	82	76
97	14	55	24	31	38	94
41	51	42	34	27	89	60
59	41	34	81	67	40	63
89	64	22	89	49	55	7
78	96	89	10	89	19	66
83	67	85	26	66	54	63
10	92	98	10	97	31	68
19	5	41	51	21	33	60
26	47	53	86	95	91	21
42	98	74	49	22	38	43
85	87	43	84	44	87	22
98	37	47	13	41	53	35
50	62	69	90	80	45	45
50	72	85	54	92	62	73
38	11	81	96	15	22	26
84	70	26	68	14	77	56
90	11	44	78	6	63	27
44	23	8	10	74	60	34
46	94	77	52	14	83	61
2	34	89	40	68	3	59
67	9	2	44	6	16	67
56	5	36	91	91	77	43
99	55	13	97	89	65	17
54	31	42	6	62	93	76
25	15	50	43	94	51	5
97	2	50	17	65	22	75
69	79	16	25	83	24	24
50	88	53	5	86	13	70
81	41	41	28	10	46	94
5	40	6	60	95	89	73
78	14	38	35	64	92	84
51	66	4	12	88	50	36
43	95	83	56	14	84	32
50	39	84	53	61	52	42
52	49	25	44	33	66	73
58	29	22	14	64	75	31
54	41	35	78	5	81	15
39	6	7	98	38	46	95
10	38	26	84	98	75	81
74	36	88	18	34	90	92
76	64	67	54	56	9	54
73	41	40	59	80	13	80
67	99	87	82	75	17	30
5	41	7	14	68	40	80
53	35	84	88	44	17	19
31	9	21	87	1	2	25
82	80	71	33	19	18	11
48	73	44	46	70	61	96
82	85	93	98	70	65	31
19	76	54	72	5	36	40
76	69	34	9	13	33	88
21	35	9	34	73	77	11
79	89	42	6	6	95	36
47	78	24	82	19	45	76
49	72	4	98	49	16	80
13	90	20	49	57	51	35
16	55	13	37	8	96	96
24	16	51	36	57	84	56
11	81	42	27	2	85	7
1	7	37	73	31	38	77
2	8	67	39	70	8	32
86	96	53	52	71	13	93
54	23	85	21	25	40	25
45	72	76	86	89	89	1
34	58	16	19	93	85	76
86	53	87	55	48	50	24
28	77	78	28	28	10	45
13	72	44	70	93	67	26
36	54	82	71	79	16	51
49	5	87	16	20	48	68
43	93	44	96	11	3	18
45	89	20	15	72	5	38
84	12	92	51	69	80	68
68	34	8	10	79	58	53
34	60	49	97	55	22	62
48	34	64	11	80	37	72
17	50	34	10	44	66	21
20	91	19	71	35	59	71
16	97	41	91	3	17	54
79	60	12	99	32	66	1
64	78	70	60	4	53	81
35	2	17	91	55	81	83
70	63	47	13	2	50	15
99	8	61	77	61	44	87
17	30	22	6	12	32	14
5	85	65	82	34	63	23
69	15	20	40	37	36	93
13	12	6	32	81	88	93
4	62	60	25	44	26	8
45	53	10	66	49	14	81
52	95	65	6	26	4	35
1	16	91	12	50	54	74
71	35	78	65	34	58	45
29	19	14	42	66	59	3
74	79	53	76	4	23	94
7	74	26	66	15	35	40
28	16	31	46	8	9	88
79	23	78	67	33	35	59
52	89	50	57	51	38	97
84	58	4	88	98	91	72
33	59	80	25	6	35	19
97	22	57	24	98	4	89
98	59	94	44	89	43	6
55	45	87	67	17	40	38
10	8	79	67	95	1	25
68	11	67	7	48	68	36
53	41	30	96	90	86	16
31	2	69	17	59	63	75
42	51	24	29	7	24	25
58	39	40	13	87	83	23
51	9	13	47	61	19	98
46	70	14	94	22	71	27
87	89	53	25	42	32	95
62	15	25	57	91	8	44
68	6	33	62	37	66	1
4	93	40	91	12	6	13
